Entity,Type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2004/02/skos/core#prefLabel,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000028,Class,"'Inorganic cell'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000029,Class,"'Organic cell'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000030,Class,"'Hybrid cell'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000033,Class,"'Inorganic p-n homojunction'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000040,Class,"'Bandgap'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000041,Class,"'Direct bandgap'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000042,Class,"'Indirect bandgap'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000051,Class,"'Innermaterial process'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000052,Class,"'Diffusion'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000053,Class,"'Charge transport'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000054,Class,"'Charge hopping'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000055,Class,"'Junction'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000056,Class,"'Homo-junction'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000057,Class,"'Hetero-junction'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000058,Class,"'Schottky-junction'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000061,Class,"'Photon energy'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000062,Class,"'Electric energy'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000063,Class,"'current'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000064,Class,"'current density'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000067,Class,"'layer deposition'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000068,Class,"'cleaning'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000075,Class,"'Slot die coating'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000087,Class,"'external quantum efficiency measurement'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000088,Class,"'iv measurement'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000089,Class,"'Hole transportation'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000090,Class,"'Electron transportation'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000091,Class,"'Energy conversion'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000092,Class,"'tandem cell'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000093,Class,"'light'",,
